"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause"
"0007449",2012,"NC","Wendell","27591","LAKEWOOD",1,0,1,"Cooking"
"0000628",2012,"NC","Goldsboro","27530","POPLAR",1,0,1,"Open Flame"
"0002490",2012,"NC","Goldsboro","27530","Brenn",1,0,1,"Unknown"
"1201730",2012,"NC","WILSON","27893","WEAVER",1,0,1,"Other Unintentional, Careless"
"0000425",2012,"ND","FARGO","58103","10",1,0,1,"Heating"
"12-0110",2012,"ND","rugby","58368","812 2nd",1,0,1,"Open Flame"
"0025517",2012,"NE","OMAHA","68108","VINTON",1,0,1,"Intentional"
"0047518",2012,"NE","OMAHA","68111","FOWLER",2,0,2,"Heating"
"0012005",2012,"NE","Plattsmouth","68048","Buccaneer",1,0,1,"Open Flame"
"0000107",2012,"NE","Scottsbluff","69361","5TH",1,0,1,"Other Equipment"
"0000107",2012,"NE","Scottsbluff","69361","5TH",1,0,1,"Exposure"
"121244",2012,"NE","David City","68632","7th",2,0,2,"Open Flame"
"012-009",2012,"NE","St Paul","68873","5th Street",1,0,1,"Other Heat"
"0022201",2012,"NE","bridgeort","69336","313 h st",1,0,1,"Other Heat"
"0000147",2012,"NH","Northfield","03276","Granite",1,0,1,"Unknown"
"0000989",2012,"NH","Albany","03818","CROSSOVER",1,0,1,"Unknown"
"0000213",2012,"NH","Berlin","03570","WILLIAMSON AVENUE",1,0,1,"Unknown"
"0000791",2012,"NH","Goffstown","03045","Church",1,0,1,"Unknown"
"0000001",2012,"NH","Andover","03216","Meadowlark Lane",2,0,2,"Heating"
"0004069",2012,"NH","DERRY","03038","NORWICH PL",1,0,1,"None"
"147",2012,"NH","PORTSMOUTH","03801","UNION",1,0,1,"Unknown"
"0000031",2012,"NJ","Margate City","08402","Thurlow",2,0,2,"Unknown"
"0000323",2012,"NJ","Ridgefield","07657","Linden",2,0,2,"Unknown"
"0001048",2012,"NJ","Willingboro","08046","MILLBROOK",2,0,2,"Electrical Malfunction"
"0000061",2012,"NJ","Columbus","08022","COLUMBUS JOBSTOWN",1,0,1,"Unknown"
"0000113",2012,"NJ","Florence","08518","SECOND",2,0,2,"Unknown"
"0164327",2012,"NJ","AUDUBON","08106","White Horse",1,0,1,"Unknown"
"0050986",2012,"NJ","CAMDEN","08103","Decatur",1,0,1,"Unknown"
"0057694",2012,"NJ","CAMDEN","08102","Point",2,0,2,"Unknown"
"0057694",2012,"NJ","CAMDEN","08102","Point",2,0,2,"Exposure"
"0057694",2012,"NJ","CAMDEN","08102","Point",2,0,2,"Exposure"
"0124490",2012,"NJ","CAMDEN","08104","Hull",1,0,1,"Unknown"
"0154544",2012,"NJ","CAMDEN","08103","Thurman",2,0,2,"Unknown"
"0154544",2012,"NJ","CAMDEN","08103","Thurman",2,0,2,"Exposure"
"0154544",2012,"NJ","CAMDEN","08103","Thurman",2,0,2,"Exposure"
"0154544",2012,"NJ","CAMDEN","08103","Thurman",2,0,2,"Exposure"
"90",2012,"NJ","North Cape May","08204","BAYSHORE",1,0,1,"Smoking"
"0000295",2012,"NJ","Bridgeton","08302","Church",1,0,1,"Unknown"
"1200242",2012,"NJ","EAST ORANGE","07017","S MUNN AVE",2,0,2,"Unknown"
"0001179",2012,"NJ","IRVINGTON","07111","CHANCELLOR",1,0,1,"Other Heat"
"0001189",2012,"NJ","IRVINGTON","07111","CUMMINGS",1,0,1,"Unknown"
"0001189",2012,"NJ","IRVINGTON","07111","CUMMINGS",1,0,1,"Exposure"
"0000298",2012,"NJ","Sewell","08080","GOLFVIEW",1,0,1,"Unknown"
"0030704",2012,"NJ","Milford","08848","Rummel",1,0,1,"Open Flame"
"0000284",2012,"NJ","HAMPTON","08827","RACE",1,0,1,"Unknown"
"2012005",2012,"NJ","Milltown","08850","joffre",1,0,1,"Exposure"
"540",2012,"NJ","South River","08882","MAIN",1,0,1,"Unknown"
"0000045",2012,"NJ","Hopelawn","08861","Lee",1,0,1,"Other Unintentional, Careless"
"2012034",2012,"NJ","Metuchen","08840","Jefferson",1,1,2,"Intentional"
"0000426",2012,"NJ","Howell Township","07731","MARINERS",1,0,1,"Unknown"
"0904004",2012,"NJ","Middletown","07748","Jersey",1,0,1,"Unknown"
"1200019",2012,"NJ","Netcong","07857","Main",1,0,1,"Other Heat"
"0000332",2012,"NJ","Berkeley Twp","08757","BIABOU",1,0,1,"Unknown"
"0230142",2012,"NJ","Brick","08724","Baser La",1,0,1,"Smoking"
"930",2012,"NJ","Paterson","07505","Main",1,0,1,"Unknown"
"1360",2012,"NJ","Paterson","07505","7Th",1,0,1,"Unknown"
"58",2012,"NJ","Roselle","07203","Raritan",1,0,1,"Other Unintentional, Careless"
"1578",2012,"NM","Sunland Park","88063","Maple",1,0,1,"Investigation with Arson Module"
"1121358",2012,"NM","Hobbs","88240","Selman",1,0,1,"Unknown"
"0002045",2012,"NM","Mescalero","88340","1385 Mescalero Blvd",1,0,1,"Other Heat"
"0250065",2012,"NM","Cedar Hill","87410","CR2475",1,0,1,"Other Equipment"
"0610089",2012,"NM","FarmingtonCCD","87401","CR5582",2,0,2,"Unknown"
"0610232",2012,"NM","Flora Vista","87415","CR3332",1,0,1,"None"
"0790115",2012,"NM","Two Grey HillsTrad","87325","NEWCOMB",1,0,1,"None"
"0860-12",2012,"NM","Las Vegas","87701","7th",1,0,1,"Unknown"
"3016",2012,"NM","El Rancho","87506","JOSE ALFREDO",1,0,1,"Unknown"
"12-1334",2012,"NM","Los Lunas","87031","Soquel",1,0,1,"Other Unintentional, Careless"
"2153579",2012,"NV","Clark County","89115","Las Vegas",1,0,1,"None"
"2295359",2012,"NV","Las Vegas","89101","9TH",1,0,1,"Unknown"
"2303521",2012,"NV","Las Vegas","89107","Brush",1,0,1,"Unknown"
"2329098",2012,"NV","Clark County","89121","Boulder",2,0,2,"None"
"2153579",2012,"NV","Clark County","89115","Las Vegas",3,0,3,"None"
"2048170",2012,"NV","Clark County","89119","Del Mar",1,0,1,"Unknown"
"2054246",2012,"NV","Clark County","89103","Solteros",1,0,1,"Smoking"
"2117331",2012,"NV","Clark County","89121","Desert Inn",1,0,1,"Unknown"
"2153579",2012,"NV","Clark County","89115","Las Vegas",3,0,3,"Unknown"
"2153579",2012,"NV","Clark County","89115","Las Vegas",3,0,3,"Exposure"
"2244955",2012,"NV","Clark County","89122","DEATH VALLEY",1,0,1,"Intentional"
"2285813",2012,"NV","Clark County","89118","Tropicana",1,0,1,"Unknown"
"2329098",2012,"NV","Clark County","89121","Boulder",2,0,2,"Unknown"
"0000150",2012,"NV","Pahrump","89060","Leslie",1,0,1,"Investigation with Arson Module"
"0005993",2012,"NV","Reno","89502","WELLS",2,0,2,"Open Flame"
"0027690",2012,"NV","Reno","89502","WRONDEL",1,0,1,"Unknown"
"0038897",2012,"NY","Cohoes","12047","SARATOGA ST",1,0,1,"Other Unintentional, Careless"
"0002716",2012,"NY","Binghamton","13905","PARK ST",1,0,1,"Smoking"
"0000205",2012,"NY","Hinsdale","14743","PENNSYLVANIA",1,0,1,"Open Flame"
"0001023",2012,"NY","AUBURN","13021","GREENVIEW",2,0,2,"Heating"
"0000217",2012,"NY","Horseheads","14845","Lee",1,0,1,"Unknown"
"0000266",2012,"NY","DEPEW","14043","CAYUGA BLVD",1,0,1,"Unknown"
"0000007",2012,"NY","Tonawanda","14150","ROSEMONT",1,0,1,"Other Unintentional, Careless"
"39",2012,"NY","Fort Covington","12937","State Route 37",1,0,1,"Other Heat"
"1368",2012,"NY","Ilion","13357","Otsego",1,0,1,"Unknown"
"0001356",2012,"NY","WATERTOWN","13601","COFFEEN",1,0,1,"Electrical Malfunction"
"0032611",2012,"NY","New York City","11213","PACIFIC ST",1,0,1,"Unknown"
"0039637",2012,"NY","New York City","11207","DECATUR ST",1,0,1,"Unknown"
"0041040",2012,"NY","New York City","10035","E 117 ST",1,0,1,"Unknown"
"0080133",2012,"NY","New York City","10466","E 225 ST",1,0,1,"Electrical Malfunction"
"0090378",2012,"NY","New York City","11436","120 AVE",1,0,1,"Unknown"
"0129798",2012,"NY","New York City","10466","E 234 ST",1,0,1,"Unknown"
"0132324",2012,"NY","Brooklyn","11205","DEKALB AVE",1,0,1,"Unknown"
"0288337",2012,"NY","New York City","11358","189 ST",1,0,1,"Unknown"
"0328765",2012,"NY","New York City","11216","JEFFERSON AVE",1,0,1,"Unknown"
"0361402",2012,"NY","New York City","11207","FURMAN AVE",1,0,1,"Unknown"
"0414191",2012,"NY","New York City","11211","LEONARD ST",1,0,1,"Open Flame"
"0420963",2012,"NY","New York City","11211","CONSELYEA ST",1,0,1,"Open Flame"
"0849262",2012,"NY","New York City","10463","ALBANY CRES",2,0,2,"Unknown"
"0940218",2012,"NY","New York City","11216","FRANKLIN AVE",1,0,1,"Unknown"
"1029303",2012,"NY","New York City","10035","E 120 ST",1,0,1,"Unknown"
"1052014",2012,"NY","New York City","10304","OSGOOD AVE",1,0,1,"Unknown"
"1075107",2012,"NY","New York City","10473","BEACH AVE",3,0,3,"Unknown"
"0003962",2012,"NY","ROCHESTER","14608","GRAPE ST",4,0,4,"Intentional"
"0009199",2012,"NY","ROCHESTER","14611","HOME PL",2,0,2,"Unknown"
"0009199",2012,"NY","ROCHESTER","14611","HOME PL",2,0,2,"Exposure"
"0009199",2012,"NY","ROCHESTER","14611","HOME PL",2,0,2,"Exposure"
"0009199",2012,"NY","ROCHESTER","14611","HOME PL",2,0,2,"Exposure"
"0015657",2012,"NY","ROCHESTER","14605","BAY ST",1,0,1,"Intentional"
"0023238",2012,"NY","ROCHESTER","14613","PIERPONT ST",1,0,1,"Unknown"
"0023238",2012,"NY","ROCHESTER","14613","PIERPONT ST",1,0,1,"Exposure"
"0000195",2012,"NY","ROCHESTER","14606","AVACADO LA",1,0,1,"Other Heat"
"0000385",2012,"NY","ROCHESTER","14609","FALSTAFF RD",1,0,1,"Unknown"
"0002553",2012,"NY","WEBSTER","14580","LAKE RD",1,2,3,"Intentional"
"0000361",2012,"NY","MANORHAVEN","11050","SINTSINK DR W",1,0,1,"Investigation with Arson Module"
"0000644",2012,"NY","LOCKPORT","14094","CAROLINA AVE",1,0,1,"Unknown"
"81207",2012,"NY","Newfane","14108","McClelland rd",1,0,1,"Unknown"
"0124173",2012,"NY","Rome","13440","Black River",1,0,1,"Investigation with Arson Module"
"0300851",2012,"NY","BALDWINSVILLE","13027","CONIFER",1,0,1,"Natural"
"9908583",2012,"NY","SYRACUSE","13206","VILLAGE",1,0,1,"Intentional"
"0000092",2012,"NY","CARMEL","10512","WYNDHAM LANE",4,0,4,"Investigation with Arson Module"
"0000180",2012,"NY","NEW CITY","10956","CENTRAL AV",1,0,1,"Unknown"
"0000044",2012,"NY","Mechanicville","12118","Main Street",1,0,1,"Smoking"
"2019714",2012,"NY","Schenectady","12308","Foster",1,0,1,"Smoking"
"2067308",2012,"NY","Schenectady","12304","State",1,0,1,"Electrical Malfunction"
"2067308",2012,"NY","Schenectady","12304","State",1,0,1,"Exposure"
"2326069",2012,"NY","Schenectady","12306","Helderberg",1,0,1,"Smoking"
"2326069",2012,"NY","Schenectady","12306","Helderberg",1,0,1,"Exposure"
"0001222",2012,"NY","Mount Vernon","10550","W 2nd St",1,0,1,"Unknown"
"0000047",2012,"OH","Andover","44003","Beaver",1,0,1,"Unknown"
"0000030",2012,"OH","Orwell Twp","44076","WindsorEast",1,0,1,"Investigation with Arson Module"
"0000032",2012,"OH","Pierpont","44082","State Route 167",1,0,1,"Unknown"
"0000101",2012,"OH","SHADYSIDE","43947","WEGEE ROAD",1,0,1,"Unknown"
"0000006",2012,"OH","Powhatan Point","43942","Wheeling",1,0,1,"Unknown"
"0010923",2012,"OH","HAMILTON","45011","PINE",1,0,1,"Other Unintentional, Careless"
"0000009",2012,"OH","Hamilton","45013","Sevenmile",1,0,1,"Unknown"
"0000004",2012,"OH","Seven Mile","45062","Hamilton Eaton 20004750",1,0,1,"Other Heat"
"12105",2012,"OH","South Vienna","45369","Banyon",1,0,1,"Unknown"
"0000068",2012,"OH","East Liverpool","43920","Vine",4,0,4,"Intentional"
"0000100",2012,"OH","LISBON","44432","PINE HOLLOW",1,0,1,"Cooking"
"0000004",2012,"OH","Negley","44441","STATELINE",1,0,1,"Unknown"
"0000002",2012,"OH","COSHOCTON","43812","TR 221",1,0,1,"Unknown"
"0000133",2012,"OH","Chagrin Falls","44022","Solon",1,0,1,"Smoking"
"2004554",2012,"OH","CLEV","44135","ROCKY RIVER",1,0,1,"Unknown"
"2006929",2012,"OH","CLEV","44120","OVINGTON",1,0,1,"Unknown"
"2009820",2012,"OH","CLEV","44103","113TH",1,0,1,"Unknown"
"2009820",2012,"OH","CLEV","44103","113TH",1,0,1,"Exposure"
"2011363",2012,"OH","CLEV","44111","149TH",1,0,1,"Unknown"
"2029665",2012,"OH","CLEV","44120","149TH",1,0,1,"Appliances"
"2029665",2012,"OH","CLEV","44120","149TH",1,0,1,"Exposure"
"2042715",2012,"OH","CLEV","44103","45TH",2,0,2,"Unknown"
"2069294",2012,"OH","CLEV","44109","ROANOKE",1,0,1,"Unknown"
"0000855",2012,"OH","Euclid","44123","Fuller",1,0,1,"Cooking"
"0000200",2012,"OH","North Royalton","44133","Royalwood",1,0,1,"Heating"
"0003753",2012,"OH","SHAKER HEIGHTS","44120","DALEFORD RD",2,0,2,"Unknown"
"0000116",2012,"OH","WASHINGTON CH","43160","MARKET",1,0,1,"Unknown"
"0000116",2012,"OH","WASHINGTON CH","43160","MARKET",1,0,1,"Exposure"
"2008595",2012,"OH","COLUMBUS","43227","SELKIRK",1,0,1,"Unknown"
"2045148",2012,"OH","COLUMBUS","43212","5TH",1,0,1,"Unknown"
"2064201",2012,"OH","COLUMBUS","43224","CLEVELAND",1,0,1,"Unknown"
"2150813",2012,"OH","COLUMBUS","43232","ALVADA",1,0,1,"Unknown"
"1201209",2012,"OH","Upper Arlington","43220","DIERKER",1,0,1,"Investigation with Arson Module"
"0000019",2012,"OH","vinton","45686","624 hartsook rd",1,0,1,"Unknown"
"0000272",2012,"OH","CHARDON","44024","MAYFIELD",1,0,1,"Unknown"
"0004693",2012,"OH","Beavercreek","45431","WENDOVER",2,0,2,"Unknown"
"0004693",2012,"OH","Beavercreek","45431","WENDOVER",2,0,2,"Exposure"
"2030003",2012,"OH","CINC","45232","KESSLER PL",1,0,1,"Cooking"
"0000143",2012,"OH","North College Hill","45239","West Galbraith",1,0,1,"Open Flame"
"0000168",2012,"OH","Greenfield","45123","Carford Pike",1,0,1,"Unknown"
"0000171",2012,"OH","Logan","43138","ORCHARD",1,0,1,"Unknown"
"0000171",2012,"OH","Logan","43138","ORCHARD",1,0,1,"Exposure"
"0000171",2012,"OH","Logan","43138","ORCHARD",1,0,1,"Exposure"
"0000083",2012,"OH","Steubenville","43952","Virginia",1,0,1,"Unknown"
"0000083",2012,"OH","Steubenville","43952","Virginia",1,0,1,"Exposure"
"0000365",2012,"OH","Steubenville","43952","Pennsylvania",1,0,1,"Unknown"
"0000365",2012,"OH","Steubenville","43952","Pennsylvania",1,0,1,"Exposure"
"0000445",2012,"OH","Steubenville","43952","Terrace",1,0,1,"Unknown"
"0002122",2012,"OH","PAINESVILLE TOWNSHIP","44077","WETMORE",1,0,1,"Unknown"
"0000513",2012,"OH","NEWARK","43055","RAMONA",1,0,1,"Unknown"
"0000513",2012,"OH","NEWARK","43055","RAMONA",1,0,1,"Exposure"
"0000441",2012,"OH","LORAIN","44052","31ST",1,0,1,"Investigation with Arson Module"
"2-24047",2012,"OH","Toledo","43607","BEN LOMOND CT",1,0,1,"Unknown"
"2-47721",2012,"OH","Toledo","43608","MONT ROYAL DR",1,0,1,"Unknown"
"0210102",2012,"OH","Maumee","43537","Garden",2,0,2,"Intentional"
"0000348",2012,"OH","West Jefferson","43162","Main",1,0,1,"Unknown"
"525",2012,"OH","Marion","43302","Chestnut",1,0,1,"Smoking"
"000048",2012,"OH","Piqua","45356","Willard",1,0,1,"Smoking"
"0000004",2012,"OH","Woodsfield","43793","36136 Conner Ridge Road",1,0,1,"Smoking"
"1201766",2012,"OH","DAYTON","45408","GERMANTOWN",1,0,1,"Electrical Malfunction"
"0123626",2012,"OH","Kettering","45440","RAHN",1,0,1,"Natural"
"0005103",2012,"OH","MIAMISBURG","45342","CASE",1,0,1,"Unknown"
"0000296",2012,"OH","DAYTON","45449","SPRINGBORO",1,0,1,"Investigation with Arson Module"
"0000043",2012,"OH","WATERFORD","45786","JOHNSON RIDGE",1,0,1,"Unknown"
"0000180",2012,"OH","Zanesville","43701","GREEN",1,0,1,"Unknown"
"0000180",2012,"OH","Zanesville","43701","GREEN",1,0,1,"Exposure"
"0000392",2012,"OH","NEW LEXINGTON","43764","TR149",1,0,1,"Unknown"
"0000048",2012,"OH","New Straitsville","43766","Main",1,0,1,"Unknown"
"0000021",2012,"OH","Piketon","45661","Fourth",1,0,1,"Unknown"
"0000197",2012,"OH","Aurora","44202","Parker",1,0,1,"Unknown"
"0000137",2012,"OH","Garrettsville","44231","Brosius",1,0,1,"Unknown"
"0000004",2012,"OH","Leipsic","45856","Road 5H",1,0,1,"Cooking"
"0000436",2012,"OH","MANSFIELD","44903","VENNUM",1,0,1,"Unknown"
"0000054",2012,"OH","Lucasville","45648","362 carter road",1,0,1,"Unknown"
"0112029",2012,"OH","Attica","44807","Twp Rd 124",5,0,5,"Unknown"
"0002618",2012,"OH","Alliance","44601","Wade",1,0,1,"Intentional"
"0007038",2012,"OH","CANTON","44704","PENN",1,0,1,"Cooking"
"0012082",2012,"OH","Canton","44702","24TH",1,0,1,"Unknown"
"0012082",2012,"OH","Canton","44702","24TH",1,0,1,"Exposure"
"0001953",2012,"OH","Canton","44708","14 TH",1,0,1,"Smoking"
"120004",2012,"OH","Waynesburg","44688","Iroquois",1,0,1,"Playing with Heat Source"
"0002616",2012,"OH","CUYAHOGA FALLS","44223","PRANGE",1,0,1,"Intentional"
"0000006",2012,"OH","McArthur","45651","US Highway 50 R",1,0,1,"Unknown"
"0000103",2012,"OH","South Bloomingville","43152","Goosecreek",1,0,1,"Unknown"
"0000122",2012,"OH","Montpelier","43543","Empire",1,0,1,"Cooking"
"0000065",2012,"OK","Silo","74701","464 W 6th",1,0,1,"Other Heat"
"0001015",2012,"OK","ARDMORE","73401","B ST SE",1,0,1,"Unknown"
"0003413",2012,"OK","Norman","73069","MERCEDES",1,0,1,"Unknown"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Unknown"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
"0006631",2012,"OK","Norman","73026","BRIDGE CREEK",1,0,1,"Exposure"
