"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause","lon","lat"
"2008561",2012,"MA","HAVERHILL","01830","WASHINGTON ST",1,0,1,"Smoking",-71.0772796,42.7762015
"0000443",2012,"MA","Lynn","01901","Essex",1,0,1,"Cooking",-70.9494938,42.466763
"0009744",2012,"MA","Lynn","01902","McKinley",2,0,2,"Unknown",-70.9494938,42.466763
"351",2012,"MA","Holyoke","01040","SOUTH",1,0,1,"Open Flame",-72.6162009,42.2042586
"0001043",2012,"MA","Longmeadow","01106","Cobble Stone",1,0,1,"Intentional",-72.5828642,42.0501022
"2430",2012,"MA","WESTFIELD","01085","NOBLE",1,0,1,"Heating",-86.1274888,40.0428151
"0004971",2012,"MA","CAMBRIDGE","02139","COLUMBIA ST",1,0,1,"Other Unintentional, Careless",0.121817,52.205337
"0004971",2012,"MA","CAMBRIDGE","02139","COLUMBIA ST",1,0,1,"Exposure",0.121817,52.205337
"994",2012,"MA","LITTLETON","01460","LAKE WARREN",1,0,1,"Intentional",-105.0166498,39.613321
"15674",2012,"MA","Lowell","01852","CENTRAL",1,0,1,"Open Flame",-71.3161718,42.6334247
"4833",2012,"MA","Marlborough","01752","GRANT",1,0,1,"Intentional",-71.5522874,42.3459271
"0001398",2012,"MA","SOMERVILLE","02144","BOSTON",1,0,1,"Cooking",-71.0994968,42.3875968
"1200504",2012,"MA","WAYLAND","01778","GAGE ROAD",1,0,1,"Electrical Malfunction",-71.3614484,42.3625953
"891",2012,"MA","BRIDGEWATER","02324","WINTER",1,0,1,"Electrical Malfunction",-70.9750541,41.9903519
"0000412",2012,"MA","Boston","02125","WESTWIND",1,0,1,"Electrical Malfunction",-71.0588801,42.3600825
"0000001",2012,"MA","BROOKFIELD","01506","QUABOAG",1,0,1,"Unknown",-88.1064787,43.0605671
"1200157",2012,"MA","Gardner","01440","FRANKLIN CT",1,0,1,"Unknown",-71.998133,42.5750883
"297",2012,"MA","PRINCETON","01541","BALL HILL",1,0,1,"Intentional",-74.6514481,40.3439888
"0000385",2012,"MA","Shrewsbury","01545","QUINSIGAMOND",1,0,1,"Unknown",-71.7128471,42.2959267
"0000175",2012,"MA","Spencer","01562","Cherry",1,0,1,"Unknown",-95.144318,43.1450748
"1398",2012,"MA","UXBRIDGE","01569","E HARTFORD",2,0,2,"Unknown",-0.479611,51.5485
"0000064",2012,"MD","Cumberland","21502","Harrison",2,0,2,"Unknown",-78.7625185,39.6528654
"0000064",2012,"MD","Cumberland","21502","Harrison",2,0,2,"Exposure",-78.7625185,39.6528654
"0000064",2012,"MD","Cumberland","21502","Harrison",2,0,2,"Exposure",-78.7625185,39.6528654
"2171079",2012,"MD","REISTERSTOWN","21136","MAIN",1,0,1,"Unknown",-76.8294213,39.4695489
"0000526",2012,"MD","Rising Sun","21911","TELEGRAPH",1,0,1,"Heating",-76.0627266,39.6978871
"0236735",2012,"MD","PYLESVILLE","21132","WEST HEAPS RD",1,0,1,"Equipment Misoperation, Failure",-76.373595,39.6896661
"0019083",2012,"MD","TAKOMA PARK","20912","MAPLE",1,0,1,"Other Heat",-77.0074765,38.9778882
"0480019",2012,"MD","District Hgts","20747","HIL MAR",1,0,1,"Unknown",-76.8894171,38.8576128
"2260222",2012,"MD","Landover","20785","LANDOVER",1,0,1,"Unknown",-76.8966397,38.9340002
"3630352",2012,"MD","Greenbelt","20770","LAUREL HILL",1,0,1,"Unknown",-76.8755282,39.0045544
"2210232",2012,"MD","Fairmont Hgts","20743","CARRINGTON",2,0,2,"Other Equipment",-75.1111938,39.9279293
"3300055",2012,"MD","Oxon Hill","20745","BOULDER",1,0,1,"Heating",-76.9897278,38.8033178
"2880054",2012,"MD","Largo","20774","PEACHLEAF",1,0,1,"Other Unintentional, Careless",-82.7873244,27.9094665
"0021527",2012,"MD","Sharpsburg","21782","BACK",1,0,1,"Unknown",-77.748882,39.4575994
"0006905",2012,"MD","Hagerstown","21740","SUMMIT",2,0,2,"Other Unintentional, Careless",-77.7199932,39.6417629
"1212556",2012,"MD","Baltimore","21225","Ritchie",1,0,1,"Unknown",-76.6121893,39.2903848
"1213025",2012,"MD","GLEN BURNIE","21061","BENESCH CIR",1,0,1,"Intentional",-76.6246886,39.1626084
"1239217",2012,"MD","ANNAPOLIS","21403","NEWPORT",1,0,1,"Unknown",-76.4921829,38.9784453
"1271984",2012,"MD","ODENTON","21113","TENBROOK",1,0,1,"Heating",-76.7002462,39.0839981
"1271984",2012,"MD","ODENTON","21113","TENBROOK",1,0,1,"Exposure",-76.7002462,39.0839981
"1271984",2012,"MD","ODENTON","21113","TENBROOK",1,0,1,"Exposure",-76.7002462,39.0839981
"0017997",2012,"MD","BALTIMORE","21206","ERDMAN",1,0,1,"Other Unintentional, Careless",-76.6121893,39.2903848
"0019654",2012,"MD","BALTIMORE","21201","CHARLES",1,0,1,"Unknown",-76.6121893,39.2903848
"0073696",2012,"MD","BALTIMORE","21224","EASTBOURNE",1,0,1,"Unknown",-76.6121893,39.2903848
"0111297",2012,"MD","BALTIMORE","21213","NORTH",1,0,1,"Unknown",-76.6121893,39.2903848
"0117548",2012,"MD","BALTIMORE","21215","WOODLAND",1,0,1,"Unknown",-76.6121893,39.2903848
"0129173",2012,"MD","BALTIMORE","21206","DENWOOD",5,0,5,"Unknown",-76.6121893,39.2903848
"0146046",2012,"MD","BALTIMORE","21202","MONTFORD",1,0,1,"Unknown",-76.6121893,39.2903848
"0001023",2012,"ME","Fort Fairfield","04742","Presque Isle",1,0,1,"Smoking",-67.8339004,46.7722294
"1200097",2012,"ME","Bremen","04551","Turner",1,0,1,"Unknown",8.8016937,53.0792962
"9",2012,"ME","Canton","04221","School",1,0,1,"None",-81.378447,40.7989473
"36",2012,"ME","Rumford","04276","Hillside",1,0,1,"None",-70.5508829,44.5536606
"214",2012,"ME","RumfordTown of","04276","Hillside",1,0,1,"Other Unintentional, Careless",-70.5508829,44.5536606
"12303",2012,"ME","ORRINGTON","04474","Dow",4,0,4,"Heating",-68.7904626,44.7202096
"0000091",2012,"MI","GRAND JUNCTION","49056","102ND",1,0,1,"Unknown",-108.5506486,39.0638705
"0000127",2012,"MI","PULLMAN","49450","112TH",1,0,1,"Unknown",-117.1817377,46.7297771
"0201203",2012,"MI","Skanee","49962","13354 Ohman Rd",1,0,1,"Unknown",-88.214014,46.873261
"0000439",2012,"MI","Essexville","48732","HAMPSTEAD",1,0,1,"Other Heat",-83.8419193,43.6153004
"0000093",2012,"MI","Benton Harbor","49022","Territorial",1,0,1,"Open Flame",-86.4541894,42.1167065
"0000404",2012,"MI","BATTLE CREEK","49014","WILLOW",1,0,1,"Unknown",-85.1797142,42.3211522
"0005489",2012,"MI","BATTLE CREEK","49037","YOUNG",1,0,1,"Unknown",-85.1797142,42.3211522
"2012158",2012,"MI","Grayling","49738","Vine",2,0,2,"Unknown",-84.7147512,44.6614039
"0000021",2012,"MI","KINGSLEY","49649","JACKSON",1,0,1,"Unknown",-85.5358994,44.5847251
"0201202",2012,"MI","Port Hope","48468","Birch",1,0,1,"Unknown",-78.2934468,43.9491784
"0000366",2012,"MI","LANSING","48917","CATHERINE",1,0,1,"Unknown",-84.5555347,42.732535
"1207036",2012,"MI","Kalamazoo","49006","Madison",1,0,1,"Unknown",-85.5872286,42.2917069
"0000017",2012,"MI","KALKASKA TOWNSHIP","49646","N CIRCLE DRIVE",1,0,1,"Cooking",-85.2101269,44.731613
"2105422",2012,"MI","GR","49546","WHISPERING WAY",1,0,1,"Smoking",21.824312,39.074208
"2105822",2012,"MI","GR","49504","FULTON",1,0,1,"Cooking",21.824312,39.074208
"0001404",2012,"MI","Kentwood","49508","Bayham Dr",1,0,1,"Unknown",-85.6447492,42.8694731
"0000152",2012,"MI","SPARTA","49345","VINTON",1,0,1,"Intentional",-85.7100393,43.1608578
"0000838",2012,"MI","ONSTED","49265","Dudley",1,0,1,"Other Unintentional, Careless",-84.1899442,42.0061554
"0001061",2012,"MI","HOWELL","48855","FAIRLAWN",1,0,1,"Unknown",-74.2082671,40.1645785
"0000003",2012,"MI","Cedarville","49719","Hodeck",1,0,1,"Smoking",-83.8126484,39.7495714
"0002464",2012,"MI","ROSEVILLE","48066","Pattow",1,0,1,"Investigation with Arson Module",-121.2880059,38.7521235
"0000056",2012,"MI","Thompsonville","49683","Vondra",2,0,2,"None",-85.9439718,44.5202794
"0000556",2012,"MI","Thompsonville","49683","Vondra",2,0,2,"None",-85.9439718,44.5202794
"12-0556",2012,"MI","thompsonville","49645","vondra",2,0,2,"Intentional",-85.9439718,44.5202794
"0000008",2012,"MI","Ludington","49431","Robert",1,0,1,"Unknown",-86.4525831,43.9552825
"0001761",2012,"MI","Lambertville","48144","Consear",1,0,1,"Smoking",-74.9429448,40.3659394
"0000145",2012,"MI","Monroe","48162","Kessler",1,0,1,"Unknown",-83.3977101,41.9164343
"0120191",2012,"MI","Greenville","48838","Cass",1,0,1,"Intentional",-82.3940104,34.8526176
"0001652",2012,"MI","MUSKEGON CHARTER TWP","49442","VINE",1,0,1,"Intentional",-86.1853474,43.2756927
"1200002",2012,"MI","White Cloud","49349","Laurel",1,0,1,"Unknown",-85.771997,43.5502974
"0000528",2012,"MI","HOLLY","48442","COGSHALL",1,0,1,"Open Flame",-95.6725227,35.8143335
"0000532",2012,"MI","HOLLY","48442","ELLIOT",1,0,1,"Electrical Malfunction",-95.6725227,35.8143335
"0001798",2012,"MI","Novi","48377","TWELVE OAKS CRESCENT",1,0,1,"Other Unintentional, Careless",-83.4754913,42.48059
"0000537",2012,"MI","Pontiac","48342","GINGELL",1,0,1,"Smoking",-83.2910468,42.6389216
"0000551",2012,"MI","White Lake","48383","WAYNE",1,0,1,"Unknown",-78.4838952,34.6404489
"0000008",2012,"MI","New Rea","49446","4770 Park Rd ",1,0,1,"Open Flame",-73.9936198,40.7282035
"0000033",2012,"MI","Holland","49424","west pine lane",1,0,1,"Unknown",5.291266,52.132633
"0000042",2012,"MI","ROSCOMMON","48653","Maplewood",1,0,1,"Unknown",-8.2681621,53.7592604
"0000991",2012,"MI","Saginaw","48601","CHERRY",1,0,1,"Appliances",-83.9508068,43.4194699
"0000991",2012,"MI","CLAY Township","48001","NORTH RIVER",1,0,1,"Heating",-82.5918153,42.6107495
"0000010",2012,"MI","MILLINGTON","48746","SERGENT",1,0,1,"Unknown",-89.8973084,35.3414744
"0000002",2012,"MI","Decatur","49045","78TH",1,0,1,"Unknown",-84.2963123,33.7748275
"0003137",2012,"MI","Detroit","48205","FAIRMOUNT",1,0,1,"Other Heat",-83.0457538,42.331427
"0005470",2012,"MI","Detroit","48207","JEFFERSON",1,0,1,"Unknown",-83.0457538,42.331427
"0007062",2012,"MI","Detroit","48234","SYRACUSE",1,0,1,"Unknown",-83.0457538,42.331427
"0014253",2012,"MI","Detroit","48234","BUFFALO",1,0,1,"Intentional",-83.0457538,42.331427
"0024022",2012,"MI","Detroit","48209","HUMBOLDT",1,0,1,"Intentional",-83.0457538,42.331427
"0004461",2012,"MI","INKSTER","48141","WILLIAMS",1,0,1,"Unknown",-83.3099303,42.2942045
"0143775",2012,"MI","LINCOLN PARK","48146","Drouillard",1,0,1,"Investigation with Arson Module",-87.6513043,41.9214378
"7745",2012,"MI","Livonia","48152","CURTIS",1,0,1,"Open Flame",-83.3527097,42.36837
"0002621",2012,"MI","Taylor","48180","FOURTH",1,0,1,"Heating",-83.2696509,42.240872
"0002621",2012,"MI","Taylor","48180","FOURTH",1,0,1,"Exposure",-83.2696509,42.240872
"0002621",2012,"MI","Taylor","48180","FOURTH",1,0,1,"Exposure",-83.2696509,42.240872
"0002621",2012,"MI","Taylor","48180","FOURTH",1,0,1,"Exposure",-83.2696509,42.240872
"14761",2012,"MN","Stacy","55079","Lyons",1,0,1,"Unknown",-92.9874404,45.3980205
"0019185",2012,"MN","Ramsey","55303","Nowthen",1,0,1,"Other Unintentional, Careless",-74.1409771,41.0573188
"0000007",2012,"MN","Anoka","55303","6",1,0,1,"Unknown",-93.3871758,45.1977428
"0001905",2012,"MN","Bemidji","56601","TYLER",1,0,1,"Unknown",-94.8858492,47.4875361
"106",2012,"MN","New Ulm","56073","Shag",1,0,1,"Unknown",-94.4593018,44.3144394
"732012",2012,"MN","Moose Lake","55767","riverside",1,0,1,"Cooking",-92.7666667,46.4513889
"1200006",2012,"MN","Cologne","55322","Co Rd 41",1,0,1,"Unknown",6.9602786,50.937531
"13",2012,"MN","Lindstrom","55045","olinda",1,0,1,"Unknown",-92.8479921,45.3894083
"0000027",2012,"MN","Nisswa","56468","Tranquil",2,0,2,"Intentional",-94.2886089,46.5205224
"1200179",2012,"MN","LAKEVILLE","55044","KALMAR",1,0,1,"Unknown",-93.24272,44.6496868
"2012001",2012,"MN","Blue Earth","56013","21st",1,0,1,"Heating",-93.9878427,43.9505132
"2012021",2012,"MN","Blue Earth","56013","1st",2,0,2,"Natural",-93.9878427,43.9505132
"0002160",2012,"MN","Maple Grove","55369","Main St N",1,0,1,"Smoking",-93.4557877,45.0724642
"0001453",2012,"MN","MINNETONKA","55345","WESTWOOD",2,0,2,"Heating",-93.4687489,44.9211836
"0000092",2012,"MN","BLOOMINGTON","55425","BLOOMINGTON",1,0,1,"Unknown",-86.5263857,39.165325
"0008040",2012,"MN","MINNEAPOLIS","55408","HARRIET",1,0,1,"Unknown",-93.2650108,44.977753
"0021888",2012,"MN","MINNEAPOLIS","55408","1",1,0,1,"Unknown",-93.2650108,44.977753
"06",2012,"MN","Lake Lillian","56253","126th ave",1,0,1,"Unknown",-94.8799994,44.9435732
"12047",2012,"MN","Spicer","56288","133 rd",1,0,1,"Other Unintentional, Careless",-94.9400088,45.2330198
"1210018",2012,"MN","Balaton","56115","Mound",1,0,1,"Open Flame",17.7340438,46.8302679
"1301037",2012,"MN","Balaton","56115","Maple St N",1,0,1,"Other Heat",17.7340438,46.8302679
"1212",2012,"MN","Stephen","56757","430th",1,0,1,"Playing with Heat Source",,
"0000017",2012,"MN","SHERBURN","56171","30 th Ave",1,0,1,"Unknown",-94.7268677,43.6546148
"2012093",2012,"MN","Fergus Falls","56537","Fir",1,0,1,"Smoking",-96.0777887,46.2835212
"1301021",2012,"MN","Shoreview","55126","Richmond",1,0,1,"Unknown",-93.1471667,45.0791325
"0000290",2012,"MN","SAINT PAUL","55104","DAYTON",1,0,1,"Unknown",-93.0899578,44.9537029
"0006627",2012,"MN","SAINT PAUL","55107","SMITH",2,0,2,"Smoking",-93.0899578,44.9537029
"12002",2012,"MN","Faribault","55021","Dalton",1,0,1,"Cooking",-93.268827,44.2949636
"12006",2012,"MN","Little Canada","55110","Labore",1,0,1,"Open Flame",-93.0877196,45.0269101
"201203",2012,"MN","FORBES","55738","Hwy25",1,0,1,"Other Unintentional, Careless",-92.6040753,47.3715978
"1201",2012,"MN","Canyon","55717","Kennedy",1,0,1,"Other Unintentional, Careless",-116.6865435,43.6779581
"12006",2012,"MN","eveleth","55734","CEDAR ISLAND DRIVE",1,0,1,"Other Unintentional, Careless",-92.5399063,47.4624279
"123999",2012,"MN","SAINT CLOUD","56303","8",1,0,1,"Cooking",-94.1632404,45.5579451
"1249",2012,"MN","Saint Charles","55972","Whitewater",1,0,1,"Other Unintentional, Careless",-90.4974359,38.7881062
"0510001",2012,"MN","Minneota","56264","main st",1,0,1,"Other Unintentional, Careless",-95.9855862,44.5588502
"0002048",2012,"MO","ST JOSEPH","64507","EL TIVOLI",1,0,1,"Intentional",-94.846681,39.7674578
"7038",2012,"MO","Poplar Bluff","63901","RELIEF",2,0,2,"Other Unintentional, Careless",-90.392888,36.7569994
"7038",2012,"MO","Poplar Bluff","63901","RELIEF",2,0,2,"Exposure",-90.392888,36.7569994
"012-352",2012,"MO","Lathrop","64465","Apache",1,0,1,"Unknown",-121.27661,37.8227046
"0004961",2012,"MO","SPRINGFIELD","65802","CONCORD",2,0,2,"Investigation with Arson Module",-72.5815724,42.1072647
"0005676",2012,"MO","SPRINGFIELD","65803","MINOTA",1,0,1,"Intentional",-72.5815724,42.1072647
"0011153",2012,"MO","SPRINGFIELD","65802","WALNUT",1,0,1,"Electrical Malfunction",-72.5815724,42.1072647
"0120115",2012,"MO","Trenton","64683","Oklahoma",1,0,1,"Other Heat",-74.7429384,40.2170534
"2037377",2012,"MO","Kansas City","64134","BENNINGTON",3,0,3,"Unknown",-94.5785667,39.0997265
"2039180",2012,"MO","Kansas City","64130","WABASH",1,0,1,"Cooking",-94.5785667,39.0997265
"2091404",2012,"MO","Kansas City","64134","100TH",1,0,1,"Electrical Malfunction",-94.5785667,39.0997265
"2101271",2012,"MO","Kansas City","64114","Washington",1,0,1,"Unknown",-94.5785667,39.0997265
"2102859",2012,"MO","Kansas City","64138","Booth",2,0,2,"Unknown",-94.5785667,39.0997265
"0001237",2012,"MO","Carthage","64836","COUNTY ROAD 160",1,0,1,"Unknown",10.3329494,36.8625853
"0000677",2012,"MO","Arnold","63010","BOCK ROAD",1,0,1,"Unknown",-90.3776187,38.4328317
"0001253",2012,"MO","FOLEY","63347","BLACKMORE",1,0,1,"Smoking",-87.6835974,30.4065868
"0110001",2012,"MO","Huntsville","65259","3",1,0,1,"Open Flame",-86.5861037,34.7303688
"0000819",2012,"MO","Richmond","64085","Whitmer St",1,0,1,"Other Unintentional, Careless",-77.4360481,37.5407246
"1240574",2012,"MO","Hazelwood","63042","Ville Rosa",1,0,1,"Investigation with Arson Module",-90.3709489,38.7714396
"1252460",2012,"MO","FLORISSANT","63033","CHESAPEAK",1,0,1,"Unknown",-90.322614,38.789217
"0058628",2012,"MO","FLORISSANT","63031","FLOWERIDGE",1,0,1,"Unknown",-90.322614,38.789217
"0058628",2012,"MO","FLORISSANT","63031","FLOWERIDGE",1,0,1,"Exposure",-90.322614,38.789217
"0000099",2012,"MO","DEXTER","63841","9 JENNINGS",1,0,1,"Smoking",-89.9578688,36.7958866
"0120792",2012,"MO","Branson","65616","State Hwy 376",1,0,1,"Unknown",-93.2185144,36.6436731
"0001235",2012,"MO","Houston","65483","Chestnut",1,0,1,"Smoking",-95.3698028,29.7604267
"2012399",2012,"MO","Mountain Grove","65711","13th",1,0,1,"Other Unintentional, Careless",-92.2634942,37.1306078
"0002604",2012,"MO","Bethany","64424","State Hwy W",1,0,1,"Intentional",-97.6322639,35.5186678
"0000208",2012,"MO","golden","65658","25335 fr 2262",1,0,1,"Appliances",-105.2210997,39.755543
"0000047",2012,"MS","bruce","38915","125 cr 247",2,0,2,"Electrical Malfunction",-89.3489641,33.9920552
"0000014",2012,"MS","SHUBUTA","39360","CR 260",1,0,1,"Open Flame",-88.6994851,31.8601554
"0401211",2012,"MS","Clarksdale","38614","Smith",1,0,1,"Unknown",-90.5709323,34.2001086
"0060186",2012,"MS","Walls","38680","Hwy 61",1,0,1,"Unknown",-97.445604,35.435863
"0012021",2012,"MS","Lucedale","39452","Mill St",1,0,1,"None",-88.5900235,30.9251869
"2012-11",2012,"MS","Lucedale","39452","Mill Street Ext",1,0,1,"Other Unintentional, Careless",-88.5900235,30.9251869
"0054183",2012,"MS","waveland","39576","1009 rue de lassale",1,0,1,"Unknown",-89.3761587,30.2868632
"0010899",2012,"MS","JACKSON","39203","SALEM AVE",1,0,1,"Unknown",-90.1848103,32.2987573
"0000466",2012,"MS","Gautier","39553","Old Spanish",1,0,1,"Other Unintentional, Careless",-88.6116854,30.385755
"0007040",2012,"MS","Hattiesburg","39402","Old Hwy 24",1,0,1,"Unknown",-89.2903392,31.3271189
"0517953",2012,"MS","Hattiesburg","39402","South WIlliam",1,0,1,"Intentional",-89.2903392,31.3271189
"0000988",2012,"MS","MERIDIAN","39305","BRIARWOOD ",1,0,1,"Appliances",-116.3915131,43.6121087
"2012067",2012,"MS","Monticello","39654","Old 27",1,0,1,"Unknown",-78.4531994,38.0086043
"I201244",2012,"MS","Walnut Grove","39189","Old Walnut Grove Rd",2,0,2,"Other Unintentional, Careless",-95.4696578,44.2230691
"2012200",2012,"MS","Saltillo","38866","CR 395",1,0,1,"Other Unintentional, Careless",-88.6817201,34.3764923
"0005221",2012,"MS","Greenwood","38930","Cornelius",1,0,1,"Unknown",-86.1066526,39.6136578
"1200510",2012,"MS","CANTON","39046","BO MURPHY",1,0,1,"Unknown",-81.378447,40.7989473
"2012011",2012,"MS","Tylertown","39667","Oilfield Cutoff",1,0,1,"Other Unintentional, Careless",-90.1420331,31.1160119
"1290149",2012,"MS","Byhalia","38611","Kent",1,0,1,"Unknown",-89.6906396,34.8723179
"0012523",2012,"MS","Amory","38821","3rd",1,0,1,"Electrical Malfunction",-88.488099,33.9842768
"1213663",2012,"MS","Philadelphia","39350","171",1,0,1,"Heating",-75.1652215,39.9525839
"1213663",2012,"MS","Philadelphia","39350","171",1,0,1,"Other Unintentional, Careless",-75.1652215,39.9525839
"1202531",2012,"MS","Philadelphia","39350","18030 Highway 21 S",3,0,3,"None",-75.1652215,39.9525839
"1202527",2012,"MS","Philadelphia","39350","Hwy21",3,0,3,"Playing with Heat Source",-75.1652215,39.9525839
"1209826",2012,"MS","Union","39365","Road 325",1,0,1,"Unknown",-74.2631635,40.6975898
"0300115",2012,"MS","MCCOMB","39648","WILSON",1,0,1,"Other Unintentional, Careless",-90.4531535,31.2437872
"0012067",2012,"MS","Booneville","38829","Main",1,0,1,"Other Unintentional, Careless",-93.9215909,35.140093
"0100412",2012,"MS","Booneville","38829","5030",1,0,1,"Unknown",-93.9215909,35.140093
"0012135",2012,"MS","Florence","39073","1585 Hwy 469S",1,0,1,"Other Unintentional, Careless",11.2558136,43.7695604
"2012064",2012,"MS","Pulaski","39152","Warrentown",1,0,1,"None",-80.7797935,37.0478982
"0201236",2012,"MS","FOREST","39074","1406 GEORGE RD",1,0,1,"Unknown",-79.2451149,41.5341012
"0000019",2012,"MS","Pulaski","39152","2344 Warren Town Road",1,0,1,"Unknown",-80.7797935,37.0478982
"0012005",2012,"MS","Sunflower","38778","Fox",1,0,1,"None",-90.6773046,33.526164
"0012006",2012,"MS","Sunflower","38778","2 Fox road",1,0,1,"None",-90.6773046,33.526164
"0012034",2012,"MS","BURNSVILLE","38833","CR 206",1,0,1,"Other Unintentional, Careless",-93.2777226,44.7677424
"0012016",2012,"MS","Iuka","38852","Gaines",1,0,1,"Unknown",-88.1900415,34.8117565
"0012075",2012,"MS","IUKA","38852","CR 165",1,0,1,"Unknown",-88.1900415,34.8117565
"1208736",2012,"MS","Vicksburg","39180","Ellison Rd",1,0,1,"Unknown",-90.877882,32.3526456
"0000792",2012,"MS","Greenville","38701","Beauchamp",1,0,1,"Unknown",-82.3940104,34.8526176
"0000888",2012,"MS","Greenville","38701","Inez",1,0,1,"Unknown",-82.3940104,34.8526176
"0012195",2012,"MS","Waynesboro","39367","1123 D West Annex",1,0,1,"Appliances",-78.8894682,38.0684692
"0005372",2012,"MT","BILLINGS","59101","25",1,0,1,"Playing with Heat Source",-108.5006904,45.7832856
"0006846",2012,"MT","BILLINGS","59105","EASY",1,0,1,"Playing with Heat Source",-108.5006904,45.7832856
"0000381",2012,"MT","Missoula","59804","7TH",1,0,1,"Unknown",-113.996586,46.8787176
"0001108",2012,"MT","Missoula","59808","BUTLER CREEK",1,0,1,"Appliances",-113.996586,46.8787176
"0000508",2012,"MT","KALISPELL","59901","9TH",1,0,1,"Investigation with Arson Module",-114.3168131,48.1919889
"0000237",2012,"MT","Miles City","59301","Clark",2,0,2,"Unknown",-105.8405582,46.4083362
"0121769",2012,"NC","BURLINGTON","27217","CLEVELAND",1,0,1,"Heating",-73.212072,44.4758825
"0121866",2012,"NC","BURLINGTON","27215","FIX",1,0,1,"Other Heat",-73.212072,44.4758825
"0121866",2012,"NC","BURLINGTON","27215","FIX",1,0,1,"Exposure",-73.212072,44.4758825
"1225956",2012,"NC","Morven","28119","Robinson Bridge",1,0,1,"Heating",-74.6668985,40.3478304
"1225956",2012,"NC","Morven","28119","Robinson Bridge",1,0,1,"Exposure",-74.6668985,40.3478304
"050594",2012,"NC","Leland","28451","Farm Meadows",1,0,1,"None",-121.8444025,37.217404
"83",2012,"NC","Ocean Isle Beach","28469","Northwind",1,0,1,"Investigation with Arson Module",-78.426672,33.8943393
"12038",2012,"NC","WEAVERVILLE","28787","SUGAR CREEK",1,0,1,"Unknown",-122.9419708,40.7309778
"0000244",2012,"NC","Granite Falls","28630","Hunters Creek",1,0,1,"Unknown",-121.968742,48.0839895
"2122178",2012,"NC","Lenoir","28645","Vance",1,0,1,"Open Flame",-97.7558562,30.2468497
"0012072",2012,"NC","Shelby","28150","Sharon",1,0,1,"Unknown",-81.5356463,35.2923513
"0000454",2012,"NC","NEW BERN","28562","COLONY",1,0,1,"Smoking",-77.0441143,35.108493
"0030209",2012,"NC","Hope Mills","28348","Pecan",3,0,3,"Unknown",-78.9453056,34.9704419
"0030209",2012,"NC","Hope Mills","28348","Pecan",3,0,3,"Exposure",-78.9453056,34.9704419
"2026229",2012,"NC","FAYETTEVILLE","28314","CLIFFDALE",3,0,3,"Unknown",-78.8783585,35.0526641
"008",2012,"NC","KenansvilleTownshi","28349","Seminary",1,0,1,"Cooking",-77.9622069,34.9623883
"1240592",2012,"NC","DURHAM","27704","DAVIDSON",2,0,2,"Unknown",-78.898619,35.9940329
"2003238",2012,"NC","ROCKY MOUNT","27801","PENDER",1,0,1,"Investigation with Arson Module",-77.7905339,35.9382103
"2003238",2012,"NC","ROCKY MOUNT","27801","PENDER",1,0,1,"Exposure",-77.7905339,35.9382103
"0005735",2012,"NC","Kernersville","27284","Abbotts Lake",1,0,1,"Smoking",-80.0736533,36.1198588
"1220832",2012,"NC","WINSTON SALEM","27106","SHATTALON",1,0,1,"Smoking",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Electrical Malfunction",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"1225960",2012,"NC","WINSTON SALEM","27103","KIRK",2,0,2,"Exposure",-80.244216,36.0998596
"0915129",2012,"NC","GREENSBORO","27405","SCOTTVILLE",1,0,1,"Investigation with Arson Module",-79.7919754,36.0726354
"1212073",2012,"NC","HIGH POINT","27260","OAKWOOD",1,0,1,"Investigation with Arson Module",-80.0053176,35.9556923
"0000672",2012,"NC","COATS","27521","IDA",1,0,1,"Unknown",-78.6719592,35.4079393
"1201821",2012,"NC","Statesville","28677","Brevard",1,0,1,"Open Flame",-80.8872959,35.7826363
"1201821",2012,"NC","Statesville","28677","Brevard",1,0,1,"Exposure",-80.8872959,35.7826363
"1202705",2012,"NC","WILMINGTON","28401","LITTLE JOHN",1,0,1,"Other Heat",-77.9447102,34.2257255
"0368",2012,"NC","OnslowCounty","28540","Wilmington",3,0,3,"Electrical Malfunction",-77.4701972,34.6540094
"2012091",2012,"NC","Roxboro","27574","John Allen",1,0,1,"Open Flame",-78.982788,36.3937519
"5000927",2012,"NC","WASHINGTON","27889","WEDGEWOOD",1,0,1,"Cooking",-120.7401386,47.7510741
"0003577",2012,"NC","GREENVILLE","27834","MATTOX",1,0,1,"Other Unintentional, Careless",-82.3940104,34.8526176
"0003567",2012,"NC","Reidsville","27320","Flat Rock",1,0,1,"Unknown",-79.6644747,36.3548586
"1201762",2012,"NC","ALBEMARLE","28001","41486 SMILEY",2,0,2,"Intentional",-80.2000578,35.3501426
